atol    1e-5
length    3.0
m_N    1
m_end    0.1
m_start    0.1
mode    TE011
omega    3.972228e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    41
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-3
z_N    41
z_end    103
z_start    100

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

0.10000000000000002  0  0  100  1.5246593221946469e-21  -2.8305244335018388e-18  -2.0434669649733497e-21  -2.719479911021031e-18  -9.353541968657036e-12  -7.341404377112193e-09  5.224707661443321e-12  -5.96536205625489e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.075  1.7231724226301344e-22  -2.83052443350172e-18  -2.0837010484284677e-21  -2.4825341532472738e-18  -7.892492671405407e-12  -7.799539324215625e-09  7.576276200610858e-14  -4.113549705962274e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.15  8.93619728916404e-22  -2.3551386880256334e-18  -2.947674644291577e-21  -2.8305244335018395e-18  -1.855954137105612e-12  -5.684831793523866e-09  -1.5746057811500126e-12  -4.006641322791766e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.225  -9.528494450679466e-24  -2.3551386880249313e-18  -2.926498838070376e-21  -2.8305244335018395e-18  6.04151286537577e-12  -5.493469857958292e-09  -3.3486926338722583e-12  -5.235824749463824e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.3  1.5415999146763364e-21  -2.482534153247272e-18  -5.421010721115006e-22  -2.8305244335018388e-18  3.397134264264993e-13  -4.009351806327273e-09  -2.1667232550903525e-11  -6.2837655021535464e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.375  -2.371692106694785e-22  -2.8305244335018388e-18  1.219727429289417e-21  -2.8305244335018388e-18  -1.0357276850595033e-12  -6.096745832607956e-09  -1.797927814561371e-12  -3.480534456895241e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.45  2.1345230302237473e-21  -2.8305244335018395e-18  -2.2869897049713934e-22  -2.830524433501832e-18  -2.9234548305832102e-12  -7.602924791695617e-09  -3.985405930307794e-12  -5.798144037327518e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.525  2.7274460981934388e-21  -2.8305244335018395e-18  2.0837010436192867e-21  -2.4825341532472715e-18  -3.8550164873047e-14  -7.57923608411528e-09  3.091464629869048e-13  -5.453434429228521e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
0.10000000000000002  0  0  100.6  2.028643892936985e-21  -2.8305244335018395e-18  -5.082196797778077e-22  -2.4825341532472707e-18  2.4508669486485214e-13  -1.8484480243791657e-09  4.318240132600105e-12  -6.0449615046263565e-09  -0  -7.364386412590299e-19  -0  -7.364386412590299e-19  
