atol    1e-9
length    3.0
m_N    1
m_end    0.1
m_start    0.1
mode    TM010
omega    2.404826e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    41
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    41
z_end    103
z_start    100

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

0.10000000000000002  0  0  100  8.986472653389163e-22  -4.393581445681289e-22  2.7167431326943226e-22  -6.216374507984344e-22  -6.993446270902529e-22  -1.1519617681987135e-22  -3.258375079532635e-22  -3.5187347643383114e-22  -7.83954711046633e-06  -8.703645704673336e-20  1.653992543790735e-05  -1.8363006046748063e-19  
0.10000000000000002  0  0  100.075  6.412209499233979e-22  -4.777015549794697e-22  4.122614659692385e-22  -6.570215486492303e-22  -6.299574841399974e-22  -2.066897693142856e-22  -3.8347134447395874e-22  -3.023857176064875e-22  -1.0668786332144602e-05  -1.184473223075311e-19  1.4856300549629122e-05  -1.649380693094962e-19  
0.10000000000000002  0  0  100.15  8.18267033198586e-22  -6.367613519971499e-22  1.0351806675779893e-21  -7.062699537418474e-22  -5.608552065264254e-22  -2.545745182725213e-22  -5.024853449581586e-22  -2.653711346059034e-22  -1.3148684917644293e-05  -1.4597972739110225e-19  1.269452183241363e-05  -1.4093750424952347e-19  
0.10000000000000002  0  0  100.225  3.4705559215501095e-22  -5.781003008342572e-22  6.346047369057584e-22  -6.187432792191204e-22  -4.414974701493973e-22  -2.9596617743956127e-22  -6.719148929764135e-22  -3.7712662430895453e-22  -1.5199529830459108e-05  -1.6874867981252603e-19  1.0125231724316117e-05  -1.124126539000083e-19  
0.10000000000000002  0  0  100.3  2.3667200320380526e-22  -6.63378441766413e-22  7.825378527021711e-22  -4.489816631529308e-22  -2.726062103704955e-22  -4.237938056682252e-22  -6.73476243274533e-22  -1.1762492225791936e-22  -1.6755605669887885e-05  -1.860245920624935e-19  7.232151685046371e-06  -8.029301318320104e-20  
0.10000000000000002  0  0  100.375  1.076521718737172e-22  -7.606882060212302e-22  1.020301374568542e-21  -3.4434521943092217e-22  -1.343742524143531e-22  -3.520537270590185e-22  -7.022043911609058e-22  -1.6599406778969947e-22  -1.776729990132915e-05  -1.9725665435875894e-19  4.109354582824003e-06  -4.562300074200113e-20  
0.10000000000000002  0  0  100.45  2.28628834308061e-22  -6.582301492102908e-22  8.779575916172781e-22  -3.359996025208959e-22  -1.8374346315793472e-22  -3.6750066629724996e-22  -7.075790797637078e-22  -1.7198591357529319e-22  -1.820268408529916e-05  -2.0209038981477036e-19  8.582062459583221e-07  -9.528003341400494e-21  
0.10000000000000002  0  0  100.525  -2.394400847153494e-22  -7.466981539534149e-22  9.476812648291617e-22  -1.6881650475676054e-22  8.205467082742691e-23  -3.5473287429471827e-22  -6.728720415269007e-22  -1.7288121250929382e-22  -1.8048520727568152e-05  -2.0037883272170544e-19  -2.4159244015028237e-06  -2.682214896302186e-20  
