atol    1e-5
length    0.5
m_N    1
m_end    65
m_start    65
mode    TE011
omega    6.294858e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    60
r_end    10.500001
r_start    0.0
radius    10.0
rtol    1e-3
z_N    10
z_end    0.5
z_start    1e-3

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

64.99999999999999  0  0  0.001  1.1525270976266408e-17  -6.264035281564734e-18  0  0  1.3055455081446833e-17  -9.489439815082589e-18  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.05644444444444444  8.4700859565222405e-19  -4.3101038041457403e-19  0  0  1.2105160855067941e-18  -9.471122847176742e-19  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.11188888888888888  3.0763017698546756e-20  -1.4270203816731367e-20  0  0  4.0702978804292856e-20  -3.2961295167269814e-20  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.16733333333333333  1.0050372892307952e-21  -4.84515457126185e-22  0  0  9.936641123028738e-22  -6.860996421420525e-22  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.22277777777777777  2.7911551860290234e-23  -1.2882611228051936e-23  0  0  3.6745014099846694e-23  -2.127916313203663e-23  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.27822222222222226  8.192673425060338e-25  -3.6963600314299145e-25  0  0  1.0253138888984663e-24  -6.007535005000043e-25  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.33366666666666667  2.521904946842604e-26  -8.535613316548261e-27  0  0  2.6737513046501555e-26  -1.717918543257462e-26  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.3891111111111111  6.361766345625355e-28  -2.3614804385563858e-28  0  0  5.978790768192094e-28  -3.4669690917381606e-28  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.44455555555555554  1.7137974209345772e-29  -6.004098938876724e-30  0  0  2.2986110822944173e-29  -1.0147541187602563e-29  0  0  -0  -0  0  0  
64.99999999999999  0  0  0.49999999999999994  4.6412723446643165e-31  -1.7809236017059325e-32  0  0  5.750984734195324e-31  -2.619822726692762e-31  0  0  -0  -0  0  0  
64.99999999999999  0.17796611864406778  0  0.001  1.4005272089269857e-16  -2.901091515614728e-16  0  0  3.655343566662626  -0.0036414462498588554  0  0  -0  -0  0  0  
64.99999999999999  0.17796611864406778  0  0.05644444444444444  -6.257334337862061e-19  -8.900528381285461e-18  0  0  0.10115293900081493  -1.87230854347663e-08  0  0  -0  -0  0  0  
64.99999999999999  0.17796611864406778  0  0.11188888888888888  1.0073313044029576e-19  -1.991056771004937e-19  0  0  0.00279469649258723  -1.0377613222257052e-05  0  0  -0  -0  0  0  
64.99999999999999  0.17796611864406778  0  0.16733333333333333  3.107035481870848e-21  -5.9725651496289866e-21  0  0  7.692384788240268e-05  -1.6347961499841206e-09  0  0  -0  -0  0  0  
64.99999999999999  0.17796611864406778  0  0.22277777777777777  8.626910929282477e-23  -1.7225772422920305e-22  0  0  2.106710403269573e-06  -5.859418479279706e-13  0  0  -0  -0  0  0  
