atol    1e-9
length    3.0
m_N    1
m_end    10.0
m_start    10.0
mode    TM010
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    5
r_end    1.5000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    5
z_end    0.5000001
z_start    -0.5

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

10.000000000000002  0  0  -0.5  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  
10.000000000000002  0  0  -0.24999997500000004  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  
10.000000000000002  0  0  4.9999999918171056e-08  5.291842470328428e-17  -3.8834274074027983e-17  0  0  -4.31359613053405e-17  -2.7229643816562025e-17  0  0  0.0012096837894594854  -1.343018795573731e-17  0  0  
10.000000000000002  0  0  0.2500000749999999  1.153777823717205e-17  -7.380195320153474e-18  0  0  -8.186307291719481e-18  -4.399780221971512e-18  0  0  0.0005249520479534728  -5.828138504620748e-18  0  0  
10.000000000000002  0  0  0.5000000999999998  1.0155774680837534e-18  -7.659351807629973e-19  0  0  -8.381705423589265e-19  -4.354408142264911e-19  0  0  0.0001518639075120283  -1.6860280672939907e-18  0  0  
10.000000000000002  0.375000025  0  -0.5  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  
10.000000000000002  0.375000025  0  -0.24999997500000004  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  
10.000000000000002  0.375000025  0  4.9999999918171056e-08  3.913557133725648  -6.520787343735089e-09  0  0  4.839983530801598e-17  -1.8927112695812031e-16  0  0  0.010045237049878706  -3.383024753894085e-12  0  0  
10.000000000000002  0.375000025  0  0.2500000749999999  0.31990414917654825  -4.5880389944206816e-11  0  0  -6.897970478281278e-18  -1.381814786124327e-17  0  0  0.0034522610706581363  -1.0197690778883749e-10  0  0  
10.000000000000002  0.375000025  0  0.5000000999999998  0.025926012628673518  -1.1533378130469535e-15  0  0  -6.594373133733093e-19  -1.8450071941326486e-18  0  0  0.000704374972292596  -1.7264401061753366e-09  0  0  
10.000000000000002  0.75000005  0  -0.5  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  
10.000000000000002  0.75000005  0  -0.24999997500000004  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  
10.000000000000002  0.75000005  0  4.9999999918171056e-08  5.50069805077266  -2.4390295611781754e-09  0  0  -2.4154280482197733e-16  -5.719798826206534e-16  0  0  0.2643661858922467  -7.798774536135106e-09  0  0  
10.000000000000002  0.75000005  0  0.2500000749999999  0.4206689295348612  -1.6313892596099495e-08  0  0  -9.469965719935638e-18  -3.342872882237803e-17  0  0  0.04527464803718758  -7.041531281642032e-12  0  0  
10.000000000000002  0.75000005  0  0.5000000999999998  0.03211913823441006  -1.7407073843709762e-09  0  0  -1.3074870660023554e-18  -1.9063504384344927e-18  0  0  0.00448670310599087  -1.0373563310281034e-09  0  0  
10.000000000000002  1.125000075  0  -0.5  0.010647139647432503  -1.423569719277645e-11  0  0  -3.9625093885306265e-19  -6.9391322674684725e-19  0  0  1.4418464410538951  -8.854159477582744e-09  0  0  
10.000000000000002  1.125000075  0  -0.24999997500000004  0.09816696829927697  -1.092220118916466e-08  0  0  8.151608038374773e-20  -8.265264173491878e-18  0  0  1.3761614388244325  -8.985513010324756e-09  0  0  
10.000000000000002  1.125000075  0  4.9999999918171056e-08  0.38558448107721965  -3.7403728969906627e-10  0  0  7.846861698081066e-18  -3.7674169050565236e-17  0  0  0.7236318854333319  -4.4239936236107945e-09  0  0  
10.000000000000002  1.125000075  0  0.2500000749999999  0.09816688753276034  -1.0922140546060353e-08  0  0  4.2618456655667875e-19  -7.888825312316666e-18  0  0  0.07110272923939269  -4.852846629014874e-09  0  0  
10.000000000000002  1.125000075  0  0.5000000999999998  0.010647129807023911  -1.4235684579200084e-11  0  0  -3.234135325452535e-19  -6.516905622305992e-19  0  0  0.005417794506094706  -1.22956154310612e-09  0  0  
10.000000000000002  1.5000001  0  -0.5  0.0007781880336971321  -3.0110606774268954e-15  0  0  -1.674282654582063e-20  -4.9319796313355195e-20  0  0  0.032182988041075285  -3.131618924291693e-11  0  0  
10.000000000000002  1.5000001  0  -0.24999997500000004  0.0030681221330243597  -4.253077034867474e-14  0  0  -1.5840992854395813e-20  -1.8325115663075287e-19  0  0  0.028123407789125948  -2.8542962265825346e-11  0  0  
10.000000000000002  1.5000001  0  4.9999999918171056e-08  0.005263994345560373  -4.092018046576135e-15  0  0  -8.74681645103434e-20  -3.132246766190185e-19  0  0  0.016496504574847963  -1.5508228517985338e-11  0  0  
10.000000000000002  1.5000001  0  0.2500000749999999  0.003068120874079296  -4.2530751249649435e-14  0  0  -6.271525886106924e-20  -1.6522447628917036e-19  0  0  0.0048696039937245255  -2.6306480048008807e-12  0  0  
10.000000000000002  1.5000001  0  0.5000000999999998  0.0007781875357306174  -3.011033767849566e-15  0  0  -2.5496211518821906e-20  -6.581039855424905e-20  0  0  0.0008100261211447645  -2.409616540695103e-09  0  0  
