atol    1e-9
length    1.0
m_N    2
m_end    9.90991
m_start    2.47748
mode    TE011
omega    4.954955e+00
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    100
r_end    1.0000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    1
z_end    1e-4
z_start    1e-4

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

2.47748  0  0  0.0001  -7.331264228531857e-18  -1.4283197085607256e-15  -3.9825918759079487e-17  -1.2154053766038124e-14  8.487920664330385e-18  -1.4518597733594065e-15  -6.333217994713599e-17  -1.2352521404543461e-14  -0  -0  -0  -0  
2.47748  0.010101011111111112  0  0.0001  -9.041942729874875e-18  -1.424037379730166e-15  -4.213879048412206e-17  -1.2152089893957127e-14  -0.007209769660154506  -4.345074941660247e-09  0.023784293009451653  -6.580739472341675e-12  -0  -0  -0  -0  
2.47748  0.020202022222222223  0  0.0001  -7.462988961068339e-18  -1.4204410982696307e-15  -5.635372735352268e-17  -1.2143540268052202e-14  -0.014427151052412825  -3.906617450554039e-09  0.04753716553501393  -1.6710333899233755e-09  -0  -0  -0  -0  
2.47748  0.030303033333333333  0  0.0001  -8.066472503918229e-18  -1.417371951299285e-15  -2.827615121496984e-17  -1.2128437903694807e-14  -0.021659725566002805  -7.687223808522025e-08  0.0712272425516373  -1.2130616331203001e-08  -0  -0  -0  -0  
2.47748  0.04040404444444445  0  0.0001  -9.784730584118674e-19  -1.4755567677417516e-15  -4.324744746443833e-17  -1.2106814488228214e-14  -0.028915014294053323  -1.9372841497312624e-08  0.09482323988256423  -1.2242999456278201e-14  -0  -0  -0  -0  
2.47748  0.05050505555555556  0  0.0001  -1.753597340155769e-17  -1.6096632351171808e-15  -2.189091524644357e-17  -1.2078627176525932e-14  -0.036200446374254965  -9.425040592201216e-08  0.1182940094501147  -1.2260995578899842e-14  -0  -0  -0  -0  
2.47748  0.060606066666666666  0  0.0001  2.9901620889949703e-18  -1.759114383493101e-15  -5.698210654788574e-17  -1.2043952713119864e-14  -0.043523332652660576  -1.9951188615032164e-07  0.14160858431874945  -1.228283974331884e-14  -0  -0  -0  -0  
2.47748  0.07070707777777778  0  0.0001  -2.32949403629491e-17  -1.965701714066754e-15  -2.173174996917527e-19  -1.200286289357085e-14  -0.05089083040742524  -5.144017911528293e-08  0.16473622346167704  -1.2308442679047366e-14  -0  -0  -0  -0  
2.47748  0.0808080888888889  0  0.0001  -4.6597999073090806e-18  -2.1724037358299153e-15  -4.351066598505401e-17  -1.1955224962984498e-14  -0.058309920827744  -1.9609075448994393e-07  0.1876464561827135  -1.2337700222451666e-14  -0  -0  -0  -0  
2.47748  0.09090909999999999  0  0.0001  -1.0354289464351988e-17  -2.3786809240924093e-15  -5.932918301016036e-17  -1.1901289244547886e-14  -0.06578737459079526  -2.5066375617105746e-08  0.2103091261256462  -1.2370493633677385e-14  -0  -0  -0  -0  
