atol    1e-9
length    3.0
m_N    2
m_end    10.0
m_start    0.1
mode    TM010
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    10
r_end    1.5000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    30
z_end    -3.5
z_start    -3.001

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

0.10000000000000002  0  0  -3.001  1.7736669597481974e-21  -6.241805311669205e-20  -1.0877830870202568e-19  -5.887609016345936e-20  -5.151535178431569e-21  -4.0728589813163244e-20  9.720434212671188e-20  -4.256783237277449e-20  -0.0033787180496646437  -3.7511305724542904e-17  -0.00025042694869325833  -2.7802976442587813e-18  
0.10000000000000002  0  0  -3.018206896551724  6.248292341270396e-21  -6.194164001755771e-20  -1.1858960132222213e-19  -7.25473328457011e-20  2.017744583770504e-21  -3.3609916974454945e-21  8.072406273188524e-20  -3.8494609693804315e-20  -0.0033088243562826533  -3.673532984785514e-17  -0.00028196572835154435  -3.130448437710868e-18  
0.10000000000000002  0  0  -3.0354137931034484  8.334546500702184e-21  -6.659002623852721e-20  -1.0322043759880133e-19  -7.020159386321124e-20  5.23431928043765e-21  -3.899721862992558e-20  8.562622045263354e-20  -3.476044425757015e-20  -0.0032399740937607766  -3.59709383808224e-17  -0.000313348453533457  -3.4788666784353e-18  
0.10000000000000002  0  0  -3.052620689655172  -3.071498226429068e-22  -5.0870475353975906e-20  -1.148492374327234e-19  -8.45888133847812e-20  8.619249056776236e-22  -3.4383114150848136e-20  9.548718111704925e-20  -4.314418292720929e-20  -0.003172142799234515  -3.521785973109054e-17  -0.00034455430056185384  -3.825321177173866e-18  
0.10000000000000002  0  0  -3.0698275862068964  -2.5447367118023118e-21  -4.954831278608017e-20  -7.705807323558021e-20  -9.364016641656901e-20  3.921326943616966e-21  -6.155767013130929e-21  9.067430391999811e-20  -3.71453007612527e-20  -0.0031053047658713955  -3.4475808495486544e-17  -0.0003755623253655194  -4.1695794080256406e-18  
0.10000000000000002  0  0  -3.0870344827586207  4.0814236570376776e-21  -6.121128281169273e-20  -1.1924416543542014e-19  -8.515256174332609e-20  -5.123132440435962e-21  -3.8575148005343407e-20  8.957976905352366e-20  -3.7461580332473906e-20  -0.003039433212441038  -3.3744487342624456e-17  -0.0004063514834190184  -4.511407729823818e-18  
0.10000000000000002  0  0  -3.104241379310345  5.903302144252379e-22  -5.1520228063633766e-20  -1.3821395777970366e-19  -7.088526908400449e-20  6.244796648541734e-21  -3.4500248593996854e-20  8.120673635185231e-20  -3.6654764558552745e-20  -0.002974500452077951  -3.3023588886548784e-17  -0.0004369006501821956  -4.850571613059746e-18  
0.10000000000000002  0  0  -3.1214482758620687  8.715469683063491e-21  -5.370462394957652e-20  -1.352016084423957e-19  -9.505829382020912e-20  -1.8868810331343248e-21  -3.489749190153946e-20  9.491983016587463e-20  -3.962341670116092e-20  -0.0029104780592875755  -3.231279754087408e-17  -0.0004671886420140899  -5.186835872074023e-18  
