atol    1e-9
length    3.0
m_N    2
m_end    10.0
m_start    0.1
mode    TE011
phi_N    1
phi_end    0.0
phi_start    0.0
r_N    10
r_end    1.5000001
r_start    0.0
radius    1.0
rtol    1e-6
z_N    30
z_end    0.5
z_start    0.001

m    r    phi    z    Re[j_r]    error_Re[j_r]    Im[j_r]    error_Im[j_r]    Re[j_phi]    error_Re[j_phi]    Im[j_phi]    error_Im[j_phi]    Re[j_z]    error_Re[j_z]    Im[j_z]    error_Im[j_z]  
------------------------------------------------------------------------------

0.10000000000000002  0  0  0.001  1.0910985607364651e-20  -7.51317005009586e-18  -3.772787358424599e-20  -9.301165886692404e-18  8.613675661703213e-20  -7.635877770699545e-18  -1.009677703889844e-19  -9.453098847226755e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.01820689655172414  1.2204612091219548e-20  -7.570687858083899e-18  -3.461632393716839e-21  -8.837546613202946e-18  1.1498456337065923e-20  -7.694331071319224e-18  -4.436447479507048e-20  -8.981938560773333e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.03541379310344828  4.205648819849425e-20  -7.620404015403224e-18  -3.696185172936481e-20  -8.381783237845883e-18  -1.3350259877901824e-21  -7.74486673339439e-18  -4.781098287115032e-20  -8.518668853948587e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.05262068965517241  1.139128014182713e-20  -7.662278032565501e-18  -6.849992422452442e-21  -7.933615573803731e-18  -2.810552566718356e-20  -7.787436649728155e-18  -1.8094319623103082e-20  -8.063191949526323e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.06982758620689655  5.203283320422083e-20  -7.696265708188505e-18  3.1626981200152144e-20  -7.492995251936265e-18  5.1156843506327323e-20  -7.821945139091748e-18  -4.8802818016597604e-20  -7.61538614030284e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.08703448275862069  2.5092338053846642e-20  -7.722318886780445e-18  -5.2779850097037736e-20  -7.059736623180941e-18  4.606825594224648e-20  -7.848458127175997e-18  8.1594148627962e-20  -7.17508544378904e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.10424137931034481  5.903262851690303e-20  -7.740397838309102e-18  4.386264377180638e-22  -6.633833378101327e-18  4.267946052425531e-20  -7.866822714189667e-18  6.698448159458346e-21  -6.742172117041471e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.12144827586206897  -3.986650226484168e-21  -7.750475862308178e-18  3.0606795783227626e-20  -6.215122805638097e-18  8.014824021816652e-22  -7.877089880610194e-18  5.867685377597635e-21  -6.3166478221685996e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.1386551724137931  1.1303660949696198e-20  -7.752479619520517e-18  -1.2616637454224896e-20  -5.803555611191807e-18  5.067805320420483e-21  -7.879091676742514e-18  4.340409258568028e-20  -5.898412361662961e-18  -0  -0  -0  -0  
0.10000000000000002  0  0  0.15586206896551724  4.495636273080326e-20  -7.746402792625053e-18  2.996616987103132e-21  -5.399090456957569e-18  9.616932803773123e-22  -7.872928743977192e-18  2.980720127829875e-20  -5.487302953922877e-18  -0  -0  -0  -0  
